UID,Rating,Review
57,4, I enjoyed this film more than I anticipated. Mysterio. Jake G.. really made the film great. The best part of the film is when Mysterio really gets to be Mysterio. and by that I mean actually do what he does in the comics. illusions! The rest of the story leading up to the great scenes. and after. ar...Full ReviewI enjoyed this film more than I anticipated. Mysterio. Jake G.. really made the film great. The best part of the film is when Mysterio really gets to be Mysterio. and by that I mean actually do what he does in the comics. illusions! The rest of the story leading up to the great scenes. and after. are entertaining but not great. The elementals definitely feel like a Percy Jackson level of villains. which isnt saying much. But theyre not the point of the story or the main focus. A must see.
59,3, Disappointed with this one. Kind of jumbled and scattershot. Handing the glasses over to Mysterio seemed ridiculous and unbelievable. And the humor wasnt as sharp as the first movie - which was a big part of what made it so great.
61,1, This is the absolute worst thing a person can do to someone. Make there life a game. It destroyed me
63,3, Ugh. I hate the forced diversity in my movies so much. its ruining everything. MJ is no longer a redhead. the class has a muslim. Indian. blah. blah. Im surprised the muslim isnt the villan.
65,5, This movie was terrific it gave me everything I needed even the Peter tingles! Lol of course following and game there were some minor and major plot holes but its a superhero movie this is a universe for time travel as possible and there are superheroes. Cant wait for phase 4!
67,3, This movie was very enjoyable. I was captivated 100% of the time. It was very creative. funny. and family-friendly. It also stayed true to comics as far as the character SpidermanPeter Parker. Although. it was a great movie I felt that it was directed for a less mature audience at times. And it fel...Full ReviewThis movie was very enjoyable. I was captivated 100% of the time. It was very creative. funny. and family-friendly. It also stayed true to comics as far as the character SpidermanPeter Parker. Although. it was a great movie I felt that it was directed for a less mature audience at times. And it felt like I was watching a cheesy teenage. coming-of-age movie instead of a superhero movie. Albeit. that was the point of the movie. its just not what I expected. Overall. fantastic movie!
69,4, Decent movie but it felt a little lacking in depth. I loved the tributesconnections to the repercussions of Endgame. However. for a high school trip. it was completely unrealistic. One of the extra scenes at the end will have major repercussions later. It will be interesting to see what they do.
71,5, Awesome movie. Tom Holland is the best Peter ParkerSpiderman!! Hes the most believable. I didnt think I would like Zendaya as MJ because Im not generally a fan of her but she left me kind of liking her with Peter. Its a funny. emotional. action packed movie that wont leave your disappointed!! ...Full ReviewAwesome movie. Tom Holland is the best Peter ParkerSpiderman!! Hes the most believable. I didnt think I would like Zendaya as MJ because Im not generally a fan of her but she left me kind of liking her with Peter. Its a funny. emotional. action packed movie that wont leave your disappointed!! 🕷️🕸️🦸‍♂️
73,3, It was okay. There are things I genuinely liked about it.  Some of it was better than Homecoming. Some of it was worse.  It suffers from the fact that its following up on Into the Spider-verse. which was the best Spider-man movie ever made.  In the end. I gave it bad marks because the ending (after...Full ReviewIt was okay. There are things I genuinely liked about it.  Some of it was better than Homecoming. Some of it was worse.  It suffers from the fact that its following up on Into the Spider-verse. which was the best Spider-man movie ever made.  In the end. I gave it bad marks because the ending (after credits scene) was horrendous.
75,5, it was marvelous! i loved how it takes place right after endgame and its just a great refresher after the tragic events of endgame. Misterio was amazing and is now my favorite villion because Jake Gyllinhal could not play it better! and i loved how they really foces on Peter trying to adjust to the ...Full Reviewit was marvelous! i loved how it takes place right after endgame and its just a great refresher after the tragic events of endgame. Misterio was amazing and is now my favorite villion because Jake Gyllinhal could not play it better! and i loved how they really foces on Peter trying to adjust to the world with out Tony. they did a great job with that. All in all it was a great movie and i would not change anything about it and in my opinion its a cinamatic masterpiece!
77,5, After watching Captain Marvel and Endgame I was worried that Endgame would be the last good MCU flick. This movie reinstated my trust. Captain Marvel was so awful but Far From Home made up for it. Does a good job of keeping us on the MCU and Holland plays a great Parker. Fury is always a treat too.
79,3, I will premise to state my Spiderman preference is not Tom Holland. However. I was hopeful this movie would show a smarter side of Spiderman character. it did not give this unfortunately. He is still very naive and the ending proved that theory. I hope the next one after this shows some growth in hi...Full ReviewI will premise to state my Spiderman preference is not Tom Holland. However. I was hopeful this movie would show a smarter side of Spiderman character. it did not give this unfortunately. He is still very naive and the ending proved that theory. I hope the next one after this shows some growth in his character.
81,3, I like this spiderman better than Homecoming but what i dont like about this one is too much illusion and the ending is worse than homecoming ending. Also ends exactly how homecoming did WHAT THE FU-! But really if peter wish to reveal himself like Tony i expect to be better... disappointed...
83,5, Such an amazing movie. It made me tear up a bit. laugh a lot. and just happy watching it. I was shocked by the plot twist and surprised when a certain someone was reintroduced to Marvel. especially in the MCU. There was a lot that happened. and I liked how they ended The Infinity Saga. All in all. t...Full ReviewSuch an amazing movie. It made me tear up a bit. laugh a lot. and just happy watching it. I was shocked by the plot twist and surprised when a certain someone was reintroduced to Marvel. especially in the MCU. There was a lot that happened. and I liked how they ended The Infinity Saga. All in all. this is a great film. <3
85,5, For me. its the defining Spider-Man movie. I was raised on Toby Maguire as Spidey. but this movie was such a perfect story. You truly do see Peter grow. yes its more toward the end. but he truly changes a lot in this film. Loved it. Cant wait to watch it all the time now that its on Digital
87,3, definitely not the best spiderman movie. in my opinion they stray to far from what spideys core character truly is. the action is good the story is mundane especially is your a real spiderman fan. and know these characters you will know exactly where this movie is going and what the twist is. this i...Full Reviewdefinitely not the best spiderman movie. in my opinion they stray to far from what spideys core character truly is. the action is good the story is mundane especially is your a real spiderman fan. and know these characters you will know exactly where this movie is going and what the twist is. this is just another copy and paste mcu film and it works but its nothing new
89,4, Its a good movie not gonna lie but there are some issues in some places and the background doesnt look natural when its on CG. In terms of the story. its just Spider-Man being dumb and being betrayed by an adult. But they execute the story pretty well. I like how they expand the story from being...Full ReviewIts a good movie not gonna lie but there are some issues in some places and the background doesnt look natural when its on CG. In terms of the story. its just Spider-Man being dumb and being betrayed by an adult. But they execute the story pretty well. I like how they expand the story from being simple to being complex and they end it in a simple way. Im looking forward to next Spider-Man movie.
91,1, Disneys behavior after the movie made billions of dollars made me turn my head in disgust. The movie was fine until the end of the movie. The absolutely unbelievable level of greed coming from Disney should be illegal.
93,1, Bizarre. overly childish. immature. and dumb Peter story. What the heck is this ridiculousnes. Got better when focused on the bigger story and action.
95,5, I actually liked this Spider-man a lot better than Homecoming. And I loved Homecoming. The villain was more layered. and not feeling like some rip off from the second Amazing Spiderman. Oh look the villain is the your dates dad.. This is way better than that and lives up to Mysterio completely!
97,4, The movie was great. i would have made this film a five except it was drawn out. Ot was a great movie. not the the greatest spiderman mi ie i have ever seen. but it still a great second movie for the new Spider-Man. The first half of the mobie was a bit drawn out and they made their point in ten min...Full ReviewThe movie was great. i would have made this film a five except it was drawn out. Ot was a great movie. not the the greatest spiderman mi ie i have ever seen. but it still a great second movie for the new Spider-Man. The first half of the mobie was a bit drawn out and they made their point in ten minutes but took forty-five lol.
99,5, Finally a spider man worth every minute. Sony please dont ever threaten and take away Disneys MCU version and story arc (yall couldnt make a spiderman worth watching anyway). Awesome plot and great acting. Even the extras did great. And Im not even a spiderman fan. Im more into thors latest stor...Full ReviewFinally a spider man worth every minute. Sony please dont ever threaten and take away Disneys MCU version and story arc (yall couldnt make a spiderman worth watching anyway). Awesome plot and great acting. Even the extras did great. And Im not even a spiderman fan. Im more into thors latest story arcs then his first few haha.
101,2, Mysterio (Jake Gyllenhaal) was great. everything else not so much. It would be great if you could enjoy a movie now a day without the left smashing their politics in your face every 5 seconds in every single movie. heaven forbid they should value creativity over their political game for once....
103,1, How do you make a movie so bad that it should win the Raspberry awards? Cringey story. stupefying the character of Spiderman. make Mary Jane Watson a black chick despite the fact that shes ginger and white in the comics. and a crappy ending.
105,4, I couldnt watch the movie but l loved the trailer By candycane migit To people that hate me in my neighbor hood yeah that what you get miss fat ding dong bell yeah l hate you so much
107,3, The constant love affair between Peter and edgy girl (looks like a dude tbh) drove me to insanity. I kept hoping for some originality but the overall plot line is the same as every other Spiderman movie. 3 stars
109,1, what a waste of money! sked so bad. i couldnt stand it anymore! love MARVEL.BUT THEIR MONEY HUNGRY FINGERS R ALL OVER IF! POOR STAN WOULD ROLLOVER! WHAT HAVE U DONE TO THE LEGALIZES? SHAME ON ALL U GREEDY AZZ OLES!
111,1, This movie is a trainwreck. Uncle Ben isnt mentioned at all.the movie treats peters trauma like a joke. Mysterio is just someone that got screwed over by Stark and doesnt actually have any connection with peter.peter literally just got back from the dead and all of a sudden he wants to be on vacat...Full ReviewThis movie is a trainwreck. Uncle Ben isnt mentioned at all.the movie treats peters trauma like a joke. Mysterio is just someone that got screwed over by Stark and doesnt actually have any connection with peter.peter literally just got back from the dead and all of a sudden he wants to be on vacation and start dating. the suits.all of his suits are either Stark technology or shield combat suits.the movie tries to tell us that peter should be himself.and then rhey play iron man music.it sucks.
113,4, This film was a very overrated. I think this was a casual marvel film. Mysterio was so disappointing in my opinion and was not true to the marvel comics
115,5, Suprised wasnt sure how i was going to like this version of spider man i thought none could top Toby Maguire but this kid suprised me in both movies i really enjoy the innocents he has and the rush to be an avenger in the first film and the battle he has in this one wanting to just be a kid after lo...Full ReviewSuprised wasnt sure how i was going to like this version of spider man i thought none could top Toby Maguire but this kid suprised me in both movies i really enjoy the innocents he has and the rush to be an avenger in the first film and the battle he has in this one wanting to just be a kid after lossing tony his mentor and the story was great... loved it
117,5, Well done. It is a new version of the classic Spider-man story. It pulls from the classic comics as well as from the already established MCU materials. Poor Peter cant seem to catch any breaks. Do yourself a favor and take your own break to catch this movie.
119,3, Lots of fun to be had. Action is well shot although extremely computer generated. Lots of plot missteps imo. You have to forgive a lot of what they do to have the plot happen at all. It could have been written better so that it falls in line with the characters more. Still a fun ride.
121,3, As a continuation to the outcome of avengers endgame it wrapped Parkers feelings he may have left of that battlefield. But as a spiderman sequel to what was a pretty great Spidey film its suffered due to the fact that instead of feeling like a spiderman movie it left me feeling like it was more of...Full ReviewAs a continuation to the outcome of avengers endgame it wrapped Parkers feelings he may have left of that battlefield. But as a spiderman sequel to what was a pretty great Spidey film its suffered due to the fact that instead of feeling like a spiderman movie it left me feeling like it was more of a foot note to what was avengers endgame.
123,5, BEST MOVIE EVER! I wish I could give it 6 stars! I cried at some parts! It was the most beautiful movie ever. My favorite MCU Film out of them all! Totally recommend other people to watch it. trust me. you WONT regret it!👍👍👍👍👍👍
125,2, The worst SM yet... The Muslim woman (23 min +) got more attention then SM... At least introduce her or give her some destructive power! The Blip.... Seriously? Very silly... wait until WalMart throw this one in the $1 basket before you watch! Music was ok though. Hope this is going somewhere....
127,5, Why is great Spider-Man movie youll ever see because honest Sonys going to do Spider-Man 3 and 4 and tell you the truth Im done with Spider-Man so many directions of the character in live-action just gets old the movie was great I love how Mysterio was and I like the whole relationship between hi...Full ReviewWhy is great Spider-Man movie youll ever see because honest Sonys going to do Spider-Man 3 and 4 and tell you the truth Im done with Spider-Man so many directions of the character in live-action just gets old the movie was great I love how Mysterio was and I like the whole relationship between him and Peter Parker and I like were Peters trying to get a life get someone overall the movie was fantastic and honestly its going to be the last Spider-Man movie Ill probably ever see
129,1, Should call this whiner-man. Thats all he did and when did mj change races. With lame ass changes like these maybe Disney should stop trying to get this from Sony or whoever and kick it out of marvel universel.
131,5, This movie was brilliant. a good spider-man story with just enough peter parker to go around. It did a great job at starting Peter and MJs love story with keeping it interesting with adding a new villain to the MCU.
133,4, Marvel made a mistake at the beginning of the movie when they went through all of the Avengers who died in Endgame cause Caption America DID NOT die in Endgame he went back in the past to be with Peggy Carter and came back as an old man but he didnt die. As far as the movie is concerned they made i...Full ReviewMarvel made a mistake at the beginning of the movie when they went through all of the Avengers who died in Endgame cause Caption America DID NOT die in Endgame he went back in the past to be with Peggy Carter and came back as an old man but he didnt die. As far as the movie is concerned they made it like they were focusing on the relationship between Peter Parker and MJ more then anything else including Spider-Mans foe Mystario so I think the movie itself was good not great.
135,5, Greatest Movie of all Time better than the first Peters story is another him growing up but they honstly have to stop doing iron man stuff to poor Peter he needs to have a movie without him being involved with the picture so thats my only downside but best movie by far get it haha
137,5, Great movie. People review it too harshly and the CGI argument is annoying.
139,5, Story was interesting and I liked the writing -  funnier than expected .  I really like the fact that Marvel is starting to understand that comic movies should be funny - its more enjoyable the last few years.  Its why they continue to crush DC.  Now that being said - theres room for all.
141,5, As someone who LOVED Spiderman Homecoming. I can tell you this movie is better. Much better action and its a lot more funny. I still think the Vulture is a better villain. And its not because Jake Gyllenhaal played mysterio terribly but its because vulture had a more personal connection to Peter. ...Full ReviewAs someone who LOVED Spiderman Homecoming. I can tell you this movie is better. Much better action and its a lot more funny. I still think the Vulture is a better villain. And its not because Jake Gyllenhaal played mysterio terribly but its because vulture had a more personal connection to Peter. But overall. I think this is one of the best MCU Films.
143,1, A really bad movie. Far from home is far from good! Stick with Avengers.
145,1, Marvel found a way to ruin one of Spider-Mans greatest foes which is truly disappointing. This film left me asking one question: Tony Stark willingly died for this? No one can get Spider-Man right.
147,4, Not as good as homecoming but has a very unique twist at the end. Very excited to see how Marvel is going to formulate this spiderman with his struggles and adventures. Altogether a pretty good movie. but in my opinion. its basically a set up for the next movie
149,4, B nb nb vv b Bibb. nnnnnnnnnnnnn..; . Xbox imho kmk . Bbq Bbbb. Bbbb v. V bomb v bb;bv: cv. Kmk knob koi kmk knob nk kmk Knox nix Knox Knoxook move n koi koo b mmm mmmnbumming menos . Knock kmk
151,4, Great 2nd film!! I like how Peter is growing up and learning but still being humble. It sure sucks when u lose ur mentor. Itll be a challenge for Peter and Spiderman but luckily he has a good cast of friends and backup!!
153,5, Better than multiple MCU movies that proceeded it. Was over the universe after End Game. this movie brought me back in to the fold...worth a watch. if you like this sort of thing.
155,5, This was the BEST Spiderman movie Ive ever seen. It was a constant roller coaster. It wasnt predictable and it will leave you in saying no fn way. Highly recommend this movie!
157,5, A really good movie to give a sequel for the infinity saga.The best for people who have followed marvel start to finish.the news that our web singing teenage hero was leaving us.we all got deppressed.then spidey came back.like a miracle.With iron man gone.Peter gets e.d.i.t.h(even dead im the hero)a...Full ReviewA really good movie to give a sequel for the infinity saga.The best for people who have followed marvel start to finish.the news that our web singing teenage hero was leaving us.we all got deppressed.then spidey came back.like a miracle.With iron man gone.Peter gets e.d.i.t.h(even dead im the hero)and gives it to mysterio.realizes he made a mistake.gets run over by a train.got lied.tricked.and decived.Peter goes through alot in this movie and it shows himself alot.Overall this movie is Great.
159,5, Amazing movie with spectacular performances from Tom and Zendaya who bring these characters to life on the big screen in the most refreshing and unique story telling weve seen. assuring any spidey fan. an enamored good time with your friendly neighborhood Spider-Man!
161,5, I enjoy watching this movie though the ending credits werent as good as the movie. It still good to watch all over again. but I i dislike the fact that I will have to wait until the year of 2021 to watch the new movie.
163,4, The movie was ok. It had good chi and the plot twist regarding mephisto was believable. I like how spiderman was barely able to beat him. The movie was good
165,5, Awesome movie. Its hard to watch knowing hell never meet the Avengers again.
167,4, Far From Home takes us on fun misadventures of Parker. and further misadventures. and is just a fun time. I dont know if I like Homecoming or this better. I think each is better then the other in their own right.
169,5, i have not eatched it yet if any one could tell me how for free cause i dont have any money until like a year. please tell me how. my chdren are dying to watch this and so am i.
171,5, I would definitely recommend this movie. I saw it in the movie theater with my best friend and we were crying by the end. It is SO perfect in every way. Please enjoy this movie it is definitely worth the price no matter what.
173,5, I thought Far From Home was just great. Jake Gyllenhaal as Quenten BeckMysterio was just awesome to watch on screen with his performance in this movie. Totally buying this when it releases on Bluray.
175,2, The two post credit scenes were excellent. the movie has consequences and lasting effects that feel real going forward. Overall the movie is two big meaty scenes loosely connected.
